Hash value, Hash_Always1
0, 5
1, 2
2, 1
3, 3
4, 1
5, 3
6, 0
7, 0
8, 1
9, 2
10, 1
11, 4
12, 1
13, 3
14, 2
15, 2
16, 1
17, 0
18, 1
19, 1
20, 0
21, 2
22, 4
23, 2
24, 2
25, 1
26, 2
27, 4
28, 5
29, 3
30, 0
31, 1
32, 0
33, 1
34, 1
35, 4
36, 2
37, 3
38, 2
39, 0
40, 3
41, 0
42, 0
43, 3
44, 1
45, 3
46, 1
47, 1
48, 2
49, 3
50, 2
51, 1
52, 0
53, 2
54, 2
55, 2
56, 2
57, 1
58, 1
59, 0
60, 3
61, 3
62, 0
63, 2
64, 1
65, 1
66, 1
67, 1
68, 1
69, 4
70, 2
71, 1
72, 1
73, 3
74, 1
75, 1
76, 3
77, 1
78, 0
79, 0
80, 4
81, 0
82, 0
83, 1
84, 5
85, 1
86, 3
87, 2
88, 4
89, 0
90, 1
91, 3
92, 3
93, 2
94, 2
95, 1
96, 1
97, 0
98, 0
99, 2
100, 0
101, 2
102, 1
103, 0
104, 1
105, 3
106, 0
107, 2
108, 0
109, 1
110, 3
111, 0
112, 2
113, 1
114, 1
115, 1
116, 1
117, 2
118, 3
119, 0
120, 2
121, 0
122, 2
123, 0
124, 2
125, 2
126, 1
127, 0
128, 4
129, 3
130, 0
131, 1
132, 2
133, 4
134, 1
135, 2
136, 1
137, 4
138, 0
139, 3
140, 0
141, 1
142, 6
143, 2
144, 1
145, 3
146, 1
147, 0
148, 1
149, 3
150, 1
151, 1
152, 3
153, 4
154, 0
155, 3
156, 0
157, 4
158, 1
159, 2
160, 3
161, 2
162, 0
163, 2
164, 0
165, 1
166, 1
167, 1
168, 0
169, 4
170, 1
171, 1
172, 0
173, 0
174, 0
175, 1
176, 0
177, 1
178, 2
179, 0
180, 0
181, 2
182, 2
183, 0
184, 3
185, 0
186, 3
187, 1
188, 1
189, 1
190, 0
191, 1
192, 3
193, 1
194, 1
195, 2
196, 1
197, 0
198, 1
199, 1
200, 0
201, 1
202, 1
203, 1
204, 3
205, 1
206, 1
207, 2
208, 2
209, 2
210, 0
211, 3
212, 1
213, 1
214, 1
215, 4
216, 3
217, 3
218, 2
219, 1
220, 2
221, 3
222, 3
223, 1
224, 0
225, 2
226, 1
227, 0
228, 1
229, 0
230, 4
231, 1
232, 2
233, 1
234, 2
235, 1
236, 1
237, 1
238, 3
239, 1
240, 5
241, 1
242, 1
243, 3
244, 2
245, 1
246, 2
247, 1
248, 4
249, 1
250, 5
251, 1
252, 0
253, 3
254, 3
255, 0
256, 3
257, 2
258, 1
259, 3
260, 1
261, 1
262, 1
263, 1
264, 1
265, 0
266, 1
267, 2
268, 2
269, 1
270, 0
271, 1
272, 1
273, 0
274, 2
275, 2
276, 1
277, 2
278, 0
279, 0
280, 2
281, 2
282, 1
283, 0
284, 1
285, 0
286, 1
287, 1
288, 3
289, 2
290, 2
291, 1
292, 0
293, 2
294, 0
295, 2
296, 1
297, 0
298, 4
299, 3
300, 1
301, 0
302, 0
303, 0
304, 0
305, 0
306, 3
307, 1
308, 0
309, 1
310, 0
311, 1
312, 2
313, 0
314, 1
315, 0
316, 1
317, 2
318, 0
319, 3
320, 0
321, 1
322, 0
323, 0
324, 1
325, 0
326, 2
327, 0
328, 1
329, 1
330, 1
331, 3
332, 0
333, 0
334, 1
335, 0
336, 0
337, 0
338, 2
339, 3
340, 1
341, 2
342, 1
343, 1
344, 1
345, 1
346, 2
347, 2
348, 0
349, 2
350, 4
351, 1
352, 0
353, 1
354, 0
355, 1
356, 2
357, 0
358, 0
359, 1
360, 1
361, 2
362, 1
363, 2
364, 0
365, 0
366, 1
367, 3
368, 1
369, 3
370, 1
371, 3
372, 1
373, 3
374, 3
375, 0
376, 1
377, 3
378, 0
379, 4
380, 0
381, 3
382, 1
383, 1
384, 2
385, 2
386, 2
387, 1
388, 3
389, 1
390, 1
391, 1
392, 1
393, 2
394, 3
395, 3
396, 2
397, 1
398, 1
399, 1
400, 0
401, 1
402, 2
403, 0
404, 2
405, 2
406, 1
407, 2
408, 3
