Hash value, hash_rol
0, 0
1, 0
2, 0
3, 0
4, 0
5, 1
6, 0
7, 6
8, 0
9, 0
10, 2
11, 0
12, 0
13, 1
14, 1
15, 0
16, 0
17, 0
18, 0
19, 0
20, 1
21, 0
22, 0
23, 0
24, 0
25, 0
26, 1
27, 0
28, 3
29, 0
30, 1
31, 0
32, 1
33, 0
34, 1
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 2
66, 1
67, 1
68, 1
69, 1
70, 0
71, 1
72, 0
73, 1
74, 0
75, 1
76, 2
77, 1
78, 1
79, 1
80, 0
81, 0
82, 0
83, 0
84, 1
85, 1
86, 2
87, 0
88, 1
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 1
98, 0
99, 0
100, 1
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 1
110, 0
111, 1
112, 0
113, 0
114, 0
115, 1
116, 1
117, 0
118, 0
119, 0
120, 0
121, 1
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 1
129, 3
130, 0
131, 1
132, 11
133, 3
134, 3
135, 2
136, 2
137, 1
138, 1
139, 6
140, 4
141, 6
142, 1
143, 5
144, 1
145, 3
146, 2
147, 1
148, 5
149, 3
150, 2
151, 0
152, 6
153, 0
154, 2
155, 1
156, 0
157, 3
158, 6
159, 2
160, 4
161, 2
162, 4
163, 4
164, 3
165, 1
166, 2
167, 1
168, 0
169, 2
170, 0
171, 1
172, 3
173, 2
174, 2
175, 0
176, 0
177, 3
178, 1
179, 1
180, 0
181, 1
182, 1
183, 1
184, 1
185, 3
186, 2
187, 0
188, 1
189, 1
190, 0
191, 0
192, 0
193, 1
194, 1
195, 1
196, 0
197, 4
198, 1
199, 3
200, 8
201, 1
202, 0
203, 1
204, 1
205, 2
206, 0
207, 2
208, 1
209, 1
210, 2
211, 0
212, 0
213, 2
214, 3
215, 1
216, 0
217, 1
218, 3
219, 0
220, 3
221, 0
222, 5
223, 0
224, 0
225, 3
226, 3
227, 0
228, 1
229, 0
230, 0
231, 2
232, 1
233, 2
234, 0
235, 0
236, 0
237, 1
238, 0
239, 1
240, 0
241, 1
242, 2
243, 0
244, 0
245, 2
246, 1
247, 1
248, 0
249, 2
250, 1
251, 0
252, 2
253, 2
254, 2
255, 0
256, 1
257, 3
258, 3
259, 5
260, 2
261, 2
262, 8
263, 2
264, 2
265, 2
266, 2
267, 2
268, 2
269, 2
270, 3
271, 4
272, 2
273, 5
274, 5
275, 5
276, 3
277, 0
278, 0
279, 2
280, 6
281, 3
282, 11
283, 10
284, 2
285, 1
286, 0
287, 0
288, 2
289, 1
290, 2
291, 2
292, 3
293, 1
294, 2
295, 1
296, 0
297, 0
298, 2
299, 5
300, 2
301, 5
302, 2
303, 3
304, 4
305, 4
306, 2
307, 5
308, 1
309, 0
310, 0
311, 2
312, 8
313, 3
314, 2
315, 3
316, 0
317, 2
318, 1
319, 1
320, 0
321, 0
322, 1
323, 2
324, 1
325, 0
326, 0
327, 1
328, 0
329, 0
330, 0
331, 0
332, 0
333, 0
334, 0
335, 0
336, 1
337, 0
338, 0
339, 0
340, 0
341, 1
342, 0
343, 0
344, 0
345, 2
346, 1
347, 0
348, 1
349, 0
350, 1
351, 0
352, 0
353, 0
354, 1
355, 3
356, 0
357, 4
358, 7
359, 2
360, 2
361, 0
362, 1
363, 3
364, 2
365, 2
366, 2
367, 3
368, 4
369, 2
370, 1
371, 3
372, 0
373, 2
374, 1
375, 0
376, 0
377, 4
378, 2
379, 3
380, 3
381, 1
382, 0
383, 1
384, 0
385, 0
386, 1
387, 0
388, 1
389, 3
390, 4
391, 6
392, 2
393, 2
394, 4
395, 2
396, 4
397, 5
398, 4
399, 8
400, 3
401, 10
402, 5
403, 1
404, 14
405, 1
406, 4
407, 2
408, 2
409, 3
410, 6
411, 5
412, 3
413, 4
414, 14
415, 2
416, 7
417, 2
418, 4
419, 2
420, 0
421, 5
422, 4
423, 3
424, 0
