Hash, Number of words
0, 4
1, 10
2, 21
3, 16
4, 6
5, 3
6, 3
7, 0
8, 2
9, 3
10, 8
11, 6
12, 2
13, 3
14, 3
15, 2
16, 2
17, 1
18, 5
19, 7
20, 2
21, 0
22, 1
23, 4
24, 4
25, 11
26, 3
27, 3
28, 2
29, 4
30, 2
31, 0
32, 5
33, 4
34, 3
35, 5
36, 5
37, 1
38, 2
39, 2
40, 3
41, 4
42, 2
43, 4
44, 12
45, 3
46, 0
47, 1
48, 0
49, 4
50, 0
51, 2
52, 1
53, 8
54, 1
55, 1
56, 2
57, 3
58, 1
59, 3
60, 1
61, 0
62, 7
63, 3
64, 0
65, 2
66, 5
67, 2
68, 3
69, 4
70, 1
71, 2
72, 1
73, 1
74, 1
75, 3
76, 3
77, 6
78, 2
79, 1
80, 1
81, 1
82, 3
83, 2
84, 3
85, 4
86, 2
87, 3
88, 5
89, 0
90, 1
91, 0
92, 0
93, 3
94, 1
95, 2
96, 3
97, 4
98, 3
99, 2
100, 6
101, 6
102, 5
103, 2
104, 5
105, 5
106, 6
107, 5
108, 4
109, 14
110, 5
111, 7
112, 4
113, 9
114, 6
115, 2
116, 2
117, 4
118, 8
119, 6
120, 0
121, 2
122, 1
123, 4
124, 6
125, 5
126, 1
127, 6
128, 3
129, 3
130, 4
131, 6
132, 4
133, 2
134, 6
135, 4
136, 5
137, 4
138, 9
139, 6
140, 9
141, 5
142, 5
143, 2
144, 5
145, 3
146, 5
147, 3
148, 5
149, 5
150, 2
151, 3
152, 5
153, 5
154, 5
155, 5
156, 2
157, 4
158, 4
159, 1
160, 0
161, 7
162, 3
163, 1
164, 5
165, 3
166, 1
167, 1
168, 2
169, 0
170, 3
171, 2
172, 3
173, 0
174, 2
175, 5
176, 2
177, 5
178, 3
179, 2
180, 1
181, 4
182, 2
183, 4
184, 6
185, 6
186, 4
187, 4
188, 11
189, 3
190, 7
191, 2
192, 3
193, 4
194, 5
195, 1
196, 1
197, 4
198, 4
199, 5
200, 6
201, 2
202, 4
203, 6
204, 7
205, 1
206, 1
207, 6
208, 4
209, 2
210, 2
211, 5
212, 3
213, 8
214, 1
215, 8
216, 7
217, 2
218, 4
219, 10
220, 4
221, 3
222, 6
223, 2
224, 5
225, 1
226, 1
227, 4
228, 3
229, 3
230, 2
231, 1
232, 4
233, 9
234, 5
235, 6
236, 6
237, 7
238, 9
239, 5
240, 7
241, 10
242, 0
243, 14
244, 6
245, 9
246, 14
247, 17
248, 17
249, 8
250, 12
251, 5
252, 8
253, 11
254, 10
255, 6
256, 5
257, 12
258, 14
259, 4
260, 8
261, 11
262, 10
263, 13
264, 16
265, 7
266, 7
267, 6
268, 10
269, 0
270, 4
271, 5
272, 5
273, 1
274, 6
275, 8
276, 13
277, 7
278, 7
279, 1
280, 9
281, 13
282, 21
283, 6
284, 2
285, 4
286, 6
287, 9
288, 7
289, 4
290, 4
291, 20
292, 8
293, 3
294, 3
295, 10
296, 5
297, 1
298, 5
299, 0
300, 0
301, 1
302, 0
303, 1
304, 0
305, 2
306, 1
307, 0
308, 1
309, 1
310, 0
311, 0
312, 0
313, 3
314, 0
315, 0
316, 0
317, 1
318, 1
319, 2
320, 0
321, 0
322, 0
323, 1
324, 0
325, 0
326, 1
327, 0
328, 2
329, 1
330, 1
331, 6
332, 3
333, 4
334, 7
335, 5
336, 3
337, 8
338, 4
339, 3
340, 1
341, 0
342, 14
343, 9
344, 10
345, 9
346, 6
347, 8
348, 11
349, 10
350, 5
351, 9
352, 8
353, 5
354, 18
355, 11
356, 7
357, 14
358, 17
359, 18
360, 7
361, 23
362, 4
363, 3
364, 8
365, 11
366, 9
367, 15
368, 14
369, 9
370, 5
371, 11
372, 16
373, 12
374, 10
375, 3
376, 18
377, 8
378, 8
379, 12
380, 4
381, 8
382, 13
383, 20
384, 10
385, 11
386, 2
387, 19
388, 8
389, 3
390, 3
391, 5
392, 11
393, 7
394, 6
395, 4
396, 4
397, 4
398, 2
399, 2
400, 1
401, 3
402, 28
403, 18
404, 2
405, 1
406, 7
407, 4
408, 4
409, 1
410, 2
411, 10
412, 5
413, 1
414, 8
415, 11
416, 3
417, 4
418, 4
419, 1
420, 1
421, 2
422, 4
423, 9
424, 2
425, 5
426, 3
427, 5
428, 10
429, 3
430, 3
431, 12
432, 4
433, 3
434, 1
435, 8
436, 11
437, 33
438, 8
439, 8
440, 9
441, 6
442, 3
443, 6
444, 5
445, 7
446, 11
447, 8
448, 10
449, 4
450, 17
451, 21
452, 28
453, 14
454, 13
455, 16
456, 11
457, 9
458, 5
459, 3
460, 4
461, 5
462, 7
463, 4
464, 4
465, 7
466, 4
467, 3
468, 1
469, 5
470, 16
471, 20
472, 6
473, 6
474, 9
475, 3
476, 7
477, 12
478, 5
479, 3
480, 16
481, 21
482, 1
483, 6
484, 13
485, 9
486, 10
487, 14
488, 5
489, 5
490, 5
491, 6
492, 7
493, 9
494, 3
495, 2
496, 8
497, 7
498, 7
499, 4
500, 4
501, 5
502, 3
503, 5
504, 3
505, 2
506, 2
507, 7
508, 3
509, 2
510, 6
511, 5
512, 4
513, 2
514, 12
515, 2
516, 5
517, 5
518, 1
519, 1
520, 1
521, 1
522, 6
523, 6
524, 1
525, 1
526, 5
527, 2
528, 0
529, 5
530, 4
531, 4
532, 2
533, 6
534, 2
535, 4
536, 4
537, 4
538, 5
539, 3
540, 5
541, 4
542, 6
543, 6
544, 2
545, 5
546, 3
547, 7
548, 2
549, 3
550, 1
551, 7
552, 6
553, 2
554, 4
555, 2
556, 6
557, 5
558, 0
559, 3
560, 3
561, 3
562, 5
563, 1
564, 3
565, 8
566, 3
567, 5
568, 2
569, 4
570, 5
571, 4
572, 5
573, 4
574, 3
575, 5
576, 10
577, 10
578, 14
579, 13
580, 4
581, 10
582, 14
583, 21
584, 5
585, 8
586, 9
587, 4
588, 9
589, 14
590, 13
591, 5
592, 7
593, 7
594, 3
595, 8
596, 29
597, 14
598, 8
599, 6
600, 14
601, 15
602, 6
603, 9
604, 10
605, 4
606, 6
607, 4
608, 6
609, 4
610, 7
611, 7
612, 6
613, 7
614, 5
615, 5
616, 22
617, 14
618, 7
619, 13
620, 9
621, 5
622, 3
623, 6
624, 2
625, 6
626, 19
627, 34
628, 6
629, 3
630, 12
631, 11
632, 1
633, 6
634, 5
635, 2
636, 0
637, 3
638, 7
639, 2
640, 2
641, 1
642, 0
643, 1
644, 1
645, 0
646, 2
647, 1
648, 3
649, 2
650, 2
651, 1
652, 0
653, 1
654, 2
655, 1
656, 1
657, 2
658, 1
659, 5
660, 2
661, 2
662, 0
663, 1
664, 2
665, 2
666, 1
667, 2
668, 1
669, 0
670, 0
671, 0
672, 2
673, 1
674, 2
675, 1
676, 0
677, 1
678, 0
679, 1
680, 1
681, 1
682, 0
683, 1
684, 1
685, 0
686, 2
687, 1
688, 1
689, 0
690, 3
691, 1
692, 2
693, 0
694, 2
695, 2
696, 1
697, 0
698, 2
699, 4
700, 4
701, 2
702, 1
703, 0
704, 0
705, 1
706, 1
707, 1
708, 1
709, 1
710, 1
711, 1
712, 0
713, 3
714, 2
715, 1
716, 1
717, 4
718, 4
719, 4
720, 1
721, 1
722, 1
723, 1
724, 3
725, 2
726, 1
727, 4
728, 9
729, 10
730, 3
731, 4
732, 1
733, 6
734, 3
735, 2
736, 0
737, 4
738, 0
739, 2
740, 3
741, 1
742, 6
743, 4
744, 6
745, 4
746, 1
747, 5
748, 0
749, 5
750, 2
751, 3
752, 1
753, 1
754, 4
755, 2
756, 2
757, 2
758, 1
759, 1
760, 1
761, 1
762, 2
763, 3
764, 4
765, 4
766, 3
767, 2
768, 6
769, 0
770, 1
771, 3
772, 6
773, 5
774, 1
775, 2
776, 5
777, 5
778, 2
779, 3
780, 3
781, 2
782, 2
783, 4
784, 4
785, 4
786, 3
787, 7
788, 1
789, 0
790, 1
791, 2
792, 5
793, 4
794, 7
795, 4
796, 1
797, 3
798, 3
799, 1
800, 2
801, 2
802, 1
803, 0
804, 0
805, 1
806, 1
807, 2
808, 0
809, 0
810, 2
811, 2
812, 2
813, 3
814, 2
815, 1
816, 2
817, 2
818, 2
819, 3
820, 4
821, 2
822, 2
823, 2
824, 3
825, 0
826, 0
827, 7
828, 4
829, 7
830, 5
831, 2
832, 3
833, 1
834, 0
835, 2
836, 3
837, 3
838, 0
839, 0
840, 2
841, 1
842, 5
843, 4
844, 3
845, 1
846, 2
847, 4
848, 1
849, 1
850, 7
851, 3
852, 4
853, 3
854, 3
855, 3
856, 1
857, 0
858, 1
859, 1
860, 1
861, 2
862, 1
863, 2
864, 3
865, 2
866, 1
867, 0
868, 1
869, 0
870, 2
871, 0
872, 1
873, 2
874, 1
875, 1
876, 2
877, 3
878, 1
879, 4
880, 1
881, 8
882, 1
883, 5
884, 4
885, 10
886, 5
887, 6
888, 1
889, 3
890, 4
891, 9
892, 2
893, 2
894, 4
895, 1
896, 7
897, 3
898, 2
899, 7
900, 7
901, 5
902, 3
903, 8
904, 6
905, 11
906, 4
907, 2
908, 2
909, 3
910, 2
911, 7
912, 4
913, 3
914, 5
915, 6
916, 1
917, 2
918, 3
919, 7
920, 9
921, 6
922, 5
923, 5
924, 9
925, 9
926, 5
927, 4
928, 7
929, 2
930, 3
931, 4
932, 8
933, 9
934, 3
935, 7
936, 7
937, 6
938, 6
939, 5
940, 4
941, 0
942, 5
943, 1
944, 2
945, 2
946, 0
947, 4
948, 6
949, 3
950, 6
951, 5
952, 6
953, 5
954, 5
955, 3
956, 4
957, 7
958, 4
959, 4
960, 4
961, 2
962, 1
963, 2
964, 4
965, 2
966, 6
967, 6
968, 2
969, 10
970, 5
971, 4
972, 10
973, 2
974, 13
975, 11
976, 5
977, 5
978, 15
979, 5
980, 11
981, 6
982, 7
983, 7
984, 7
985, 14
986, 7
987, 10
988, 11
989, 4
990, 8
991, 8
992, 20
993, 5
994, 8
995, 5
996, 4
997, 7
998, 3
999, 5
1000, 2
1001, 5
1002, 2
1003, 4
