Hash, Number of words
0, 8
1, 4
2, 5
3, 6
4, 3
5, 7
6, 6
7, 11
8, 10
9, 6
10, 5
11, 3
12, 3
13, 3
14, 4
15, 2
16, 4
17, 3
18, 4
19, 5
20, 3
21, 5
22, 4
23, 3
24, 7
25, 6
26, 4
27, 6
28, 8
29, 5
30, 5
31, 5
32, 4
33, 4
34, 4
35, 5
36, 3
37, 6
38, 1
39, 4
40, 5
41, 4
42, 6
43, 8
44, 6
45, 2
46, 4
47, 0
48, 5
49, 3
50, 8
51, 1
52, 8
53, 4
54, 5
55, 3
56, 3
57, 2
58, 9
59, 6
60, 5
61, 8
62, 5
63, 1
64, 2
65, 8
66, 5
67, 7
68, 5
69, 5
70, 8
71, 5
72, 5
73, 9
74, 5
75, 5
76, 7
77, 7
78, 7
79, 5
80, 8
81, 3
82, 5
83, 2
84, 5
85, 2
86, 7
87, 8
88, 5
89, 4
90, 8
91, 5
92, 8
93, 2
94, 5
95, 9
96, 2
97, 5
98, 5
99, 4
100, 6
101, 8
102, 5
103, 5
104, 6
105, 4
106, 9
107, 4
108, 4
109, 4
110, 5
111, 5
112, 5
113, 3
114, 10
115, 5
116, 4
117, 4
118, 8
119, 7
120, 3
121, 4
122, 3
123, 4
124, 2
125, 5
126, 5
127, 5
128, 4
129, 5
130, 0
131, 2
132, 2
133, 4
134, 5
135, 3
136, 3
137, 4
138, 8
139, 4
140, 12
141, 6
142, 9
143, 1
144, 5
145, 3
146, 4
147, 6
148, 4
149, 4
150, 4
151, 2
152, 9
153, 1
154, 5
155, 3
156, 4
157, 8
158, 8
159, 15
160, 4
161, 5
162, 3
163, 5
164, 3
165, 5
166, 4
167, 2
168, 3
169, 3
170, 3
171, 5
172, 4
173, 6
174, 2
175, 8
176, 3
177, 9
178, 3
179, 2
180, 4
181, 6
182, 3
183, 5
184, 5
185, 6
186, 9
187, 5
188, 8
189, 0
190, 6
191, 3
192, 6
193, 9
194, 6
195, 7
196, 5
197, 6
198, 8
199, 7
200, 5
201, 7
202, 2
203, 7
204, 3
205, 5
206, 8
207, 11
208, 4
209, 5
210, 4
211, 5
212, 6
213, 3
214, 5
215, 8
216, 7
217, 4
218, 8
219, 4
220, 7
221, 5
222, 7
223, 7
224, 4
225, 5
226, 5
227, 1
228, 5
229, 4
230, 8
231, 5
232, 5
233, 6
234, 4
235, 8
236, 6
237, 5
238, 5
239, 5
240, 6
241, 8
242, 4
243, 8
244, 6
245, 7
246, 4
247, 4
248, 5
249, 6
250, 4
251, 5
252, 6
253, 3
254, 2
255, 3
256, 4
257, 7
258, 11
259, 5
260, 2
261, 5
262, 4
263, 1
264, 5
265, 3
266, 7
267, 1
268, 3
269, 4
270, 5
271, 10
272, 3
273, 6
274, 4
275, 7
276, 5
277, 6
278, 4
279, 7
280, 6
281, 7
282, 4
283, 7
284, 7
285, 5
286, 5
287, 2
288, 3
289, 8
290, 4
291, 7
292, 1
293, 4
294, 6
295, 4
296, 5
297, 4
298, 7
299, 9
300, 7
301, 8
302, 10
303, 7
304, 6
305, 3
306, 6
307, 5
308, 7
309, 6
310, 3
311, 6
312, 1
313, 11
314, 8
315, 2
316, 1
317, 4
318, 9
319, 3
320, 0
321, 5
322, 6
323, 1
324, 3
325, 1
326, 4
327, 4
328, 5
329, 7
330, 5
331, 4
332, 6
333, 4
334, 3
335, 8
336, 4
337, 3
338, 6
339, 8
340, 4
341, 3
342, 4
343, 7
344, 3
345, 8
346, 9
347, 6
348, 2
349, 1
350, 2
351, 7
352, 6
353, 5
354, 3
355, 7
356, 2
357, 8
358, 3
359, 7
360, 2
361, 11
362, 3
363, 6
364, 7
365, 4
366, 3
367, 4
368, 5
369, 2
370, 3
371, 4
372, 6
373, 4
374, 2
375, 4
376, 4
377, 1
378, 5
379, 5
380, 4
381, 4
382, 3
383, 5
384, 8
385, 2
386, 7
387, 4
388, 3
389, 4
390, 2
391, 6
392, 5
393, 4
394, 2
395, 6
396, 13
397, 5
398, 9
399, 5
400, 4
401, 7
402, 5
403, 3
404, 4
405, 2
406, 7
407, 4
408, 11
409, 4
410, 5
411, 4
412, 5
413, 6
414, 4
415, 7
416, 5
417, 8
418, 8
419, 5
420, 2
421, 6
422, 4
423, 2
424, 5
425, 2
426, 3
427, 8
428, 5
429, 6
430, 5
431, 3
432, 7
433, 4
434, 7
435, 2
436, 6
437, 4
438, 2
439, 12
440, 4
441, 5
442, 4
443, 5
444, 5
445, 1
446, 6
447, 5
448, 5
449, 4
450, 5
451, 2
452, 4
453, 6
454, 3
455, 1
456, 4
457, 4
458, 3
459, 4
460, 3
461, 3
462, 5
463, 6
464, 6
465, 9
466, 4
467, 3
468, 4
469, 6
470, 8
471, 3
472, 3
473, 8
474, 3
475, 4
476, 5
477, 3
478, 8
479, 9
480, 2
481, 7
482, 3
483, 5
484, 4
485, 6
486, 1
487, 2
488, 4
489, 2
490, 5
491, 7
492, 5
493, 4
494, 8
495, 5
496, 5
497, 5
498, 4
499, 4
500, 5
501, 7
502, 5
503, 0
504, 3
505, 4
506, 3
507, 7
508, 9
509, 4
510, 4
511, 3
512, 4
513, 2
514, 4
515, 6
516, 2
517, 7
518, 1
519, 5
520, 10
521, 4
522, 4
523, 5
524, 5
525, 9
526, 3
527, 5
