Hash, Number of words
0, 4
1, 2
2, 1
3, 0
4, 3
5, 0
6, 2
7, 1
8, 1
9, 1
10, 1
11, 1
12, 0
13, 1
14, 1
15, 0
16, 1
17, 0
18, 1
19, 0
20, 1
21, 0
22, 0
23, 1
24, 0
25, 1
26, 0
27, 0
28, 2
29, 2
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 3
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 2
51, 0
52, 0
53, 1
54, 0
55, 3
56, 1
57, 2
58, 1
59, 3
60, 2
61, 1
62, 1
63, 3
64, 2
65, 4
66, 3
67, 2
68, 4
69, 2
70, 4
71, 2
72, 1
73, 4
74, 1
75, 1
76, 5
77, 6
78, 2
79, 2
80, 0
81, 5
82, 3
83, 3
84, 2
85, 1
86, 2
87, 4
88, 4
89, 2
90, 2
91, 1
92, 0
93, 3
94, 7
95, 1
96, 3
97, 5
98, 1
99, 0
100, 1
101, 0
102, 3
103, 2
104, 0
105, 2
106, 1
107, 0
108, 0
109, 1
110, 0
111, 1
112, 1
113, 0
114, 0
115, 1
116, 1
117, 0
118, 1
119, 2
120, 0
121, 1
122, 0
123, 0
124, 0
125, 0
126, 0
127, 1
128, 0
129, 0
130, 0
131, 1
132, 0
133, 0
134, 0
135, 0
136, 0
137, 1
138, 0
139, 0
140, 0
141, 0
142, 1
143, 0
144, 0
145, 0
146, 1
147, 0
148, 1
149, 1
150, 2
151, 1
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 1
159, 0
160, 0
161, 0
162, 3
163, 1
164, 0
165, 0
166, 0
167, 1
168, 1
169, 2
170, 1
171, 0
172, 1
173, 3
174, 2
175, 5
176, 3
177, 0
178, 2
179, 4
180, 2
181, 3
182, 4
183, 7
184, 0
185, 2
186, 0
187, 2
188, 2
189, 6
190, 0
191, 2
192, 0
193, 3
194, 1
195, 1
196, 1
197, 1
198, 5
199, 2
200, 1
201, 1
202, 0
203, 0
204, 2
205, 3
206, 3
207, 2
208, 1
209, 4
210, 2
211, 2
212, 1
213, 2
214, 1
215, 3
216, 2
217, 0
218, 0
219, 5
220, 3
221, 3
222, 0
223, 0
224, 2
225, 3
226, 2
227, 2
228, 1
229, 1
230, 1
231, 0
232, 1
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 1
254, 0
255, 0
256, 0
257, 0
258, 0
259, 0
260, 0
261, 0
262, 0
263, 0
264, 0
265, 1
266, 0
267, 0
268, 1
269, 2
270, 1
271, 0
272, 1
273, 1
274, 3
275, 2
276, 0
277, 0
278, 1
279, 0
280, 3
281, 3
282, 2
283, 5
284, 3
285, 2
286, 1
287, 3
288, 4
289, 2
290, 2
291, 2
292, 3
293, 1
294, 5
295, 5
296, 3
297, 4
298, 6
299, 3
300, 3
301, 3
302, 5
303, 4
304, 3
305, 4
306, 8
307, 1
308, 4
309, 6
310, 4
311, 8
312, 11
313, 5
314, 7
315, 8
316, 6
317, 8
318, 5
319, 8
320, 8
321, 6
322, 6
323, 4
324, 3
325, 6
326, 4
327, 11
328, 4
329, 4
330, 12
331, 8
332, 4
333, 6
334, 7
335, 3
336, 8
337, 4
338, 5
339, 1
340, 5
341, 3
342, 2
343, 1
344, 3
345, 1
346, 1
347, 0
348, 0
349, 2
350, 0
351, 1
352, 0
353, 0
354, 0
355, 0
356, 0
357, 0
358, 0
359, 0
360, 0
361, 0
362, 0
363, 0
364, 0
365, 0
366, 1
367, 0
368, 0
369, 1
370, 0
371, 0
372, 0
373, 0
374, 0
375, 0
376, 1
377, 1
378, 0
379, 4
380, 5
381, 1
382, 1
383, 3
384, 3
385, 2
386, 2
387, 1
388, 4
389, 6
390, 8
391, 3
392, 1
393, 3
394, 4
395, 5
396, 2
397, 3
398, 5
399, 5
400, 7
401, 8
402, 5
403, 4
404, 9
405, 5
406, 5
407, 6
408, 6
409, 7
410, 9
411, 9
412, 12
413, 6
414, 14
415, 17
416, 14
417, 12
418, 16
419, 10
420, 11
421, 11
422, 20
423, 16
424, 20
425, 20
426, 25
427, 24
428, 18
429, 15
430, 15
431, 12
432, 18
433, 17
434, 23
435, 19
436, 20
437, 16
438, 12
439, 13
440, 19
441, 12
442, 16
443, 9
444, 17
445, 12
446, 8
447, 12
448, 13
449, 4
450, 13
451, 9
452, 7
453, 3
454, 9
455, 2
456, 2
457, 5
458, 1
459, 2
460, 1
461, 0
462, 1
463, 2
464, 0
465, 0
466, 0
467, 1
468, 0
469, 0
470, 1
471, 0
472, 0
473, 0
474, 0
475, 1
476, 0
477, 2
478, 2
479, 1
480, 2
481, 0
482, 0
483, 1
484, 2
485, 2
486, 1
487, 0
488, 0
489, 1
490, 1
491, 0
492, 4
493, 3
494, 2
495, 4
496, 2
497, 2
498, 6
499, 6
500, 8
501, 1
502, 1
503, 4
504, 11
505, 5
506, 2
507, 5
508, 6
509, 7
510, 12
511, 4
512, 9
513, 8
514, 5
515, 12
516, 10
517, 13
518, 12
519, 9
520, 19
521, 8
522, 8
523, 17
524, 10
525, 14
526, 15
527, 16
528, 22
529, 26
530, 22
531, 14
532, 27
533, 10
534, 21
535, 19
536, 25
537, 28
538, 18
539, 17
540, 23
541, 17
542, 17
543, 20
544, 13
545, 24
546, 26
547, 19
548, 18
549, 12
550, 14
551, 11
552, 21
553, 15
554, 18
555, 16
556, 13
